player,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent
NeonLEV,1.25,226.6,1.45,77%,147.1,0.83,0.27,0.13,0.09,25%,15%
brawkNRG,1.24,225.4,1.28,79%,146.5,0.77,0.41,0.07,0.04,18%,13%
LessKRÜ,1.21,237.4,1.35,72%,155.6,0.86,0.24,0.12,0.09,28%,9%
corteziaSEN,1.15,209.3,1.21,72%,139.0,0.76,0.20,0.12,0.09,29%,14%
trentG2,1.15,202.1,1.12,77%,137.2,0.70,0.34,0.06,0.05,31%,18%
erdeLOUD,1.13,212.6,1.10,73%,139.1,0.76,0.31,0.09,0.10,26%,24%
saadhakKRÜ,1.11,211.2,1.11,71%,135.2,0.74,0.38,0.11,0.11,24%,14%
keikoNRG,1.09,218.3,1.12,72%,143.6,0.76,0.26,0.12,0.11,30%,21%
aspasMIBR,1.09,212.3,1.11,72%,141.7,0.76,0.16,0.14,0.08,25%,10%
mwzeraKRÜ,1.09,199.6,1.07,76%,133.9,0.69,0.31,0.06,0.03,21%,16%
valynG2,1.08,198.9,1.11,74%,126.6,0.72,0.37,0.08,0.08,26%,20%
bang100T,1.08,188.5,1.07,75%,117.6,0.69,0.41,0.06,0.05,33%,23%
lukxoLOUD,1.07,214.3,1.07,67%,141.7,0.77,0.27,0.14,0.12,25%,20%
RossyENVY,1.07,204.4,1.01,72%,135.5,0.72,0.32,0.04,0.07,28%,13%
artzinFUR,1.07,210.5,1.10,71%,142.5,0.76,0.23,0.07,0.08,24%,15%
BABYBAYG2,1.07,212.4,1.08,76%,139.1,0.74,0.28,0.10,0.07,22%,8%
Cryocells100T,1.07,203.2,1.16,71%,132.5,0.75,0.23,0.09,0.08,22%,13%
blowzLEV,1.06,181.0,1.09,78%,125.1,0.62,0.36,0.05,0.03,31%,17%
SatoLEV,1.06,223.6,1.09,74%,144.9,0.78,0.34,0.14,0.09,34%,7%
ReduxxSEN,1.06,218.3,1.06,71%,139.6,0.78,0.24,0.09,0.07,27%,7%
OXYC9,1.05,237.6,1.04,70%,149.4,0.83,0.19,0.16,0.21,24%,10%
dgzinEG,1.03,223.8,1.08,68%,143.6,0.83,0.11,0.18,0.20,36%,17%
Asuna100T,1.03,207.9,1.01,74%,135.1,0.71,0.34,0.11,0.13,20%,15%
NotexxdC9,1.02,196.0,1.00,80%,122.7,0.71,0.39,0.05,0.05,23%,40%
zekkenMIBR,1.02,227.5,1.05,68%,139.0,0.79,0.20,0.17,0.15,20%,10%
VernoMIBR,1.02,178.5,0.98,72%,120.0,0.63,0.33,0.06,0.07,28%,12%
kiNggLEV,1.01,174.5,1.10,78%,112.1,0.62,0.32,0.06,0.04,27%,7%
Timotino100T,1.01,224.9,1.02,68%,145.3,0.77,0.25,0.19,0.18,23%,20%
leafG2,1.01,200.9,1.01,71%,133.9,0.71,0.33,0.10,0.13,24%,20%
EthanNRG,1.00,188.0,0.93,74%,123.4,0.63,0.39,0.08,0.07,24%,9%
madaNRG,0.99,202.8,1.03,70%,127.4,0.73,0.24,0.17,0.18,22%,25%
v1cC9,0.99,170.3,0.91,74%,120.4,0.61,0.41,0.07,0.09,31%,22%
Demon1ENVY,0.99,197.3,1.04,67%,129.6,0.75,0.18,0.10,0.13,46%,32%
PaincakesEG,0.98,183.0,0.86,69%,120.7,0.63,0.39,0.00,0.07,30%,8%
DarkerLOUD,0.98,203.5,0.92,71%,134.5,0.70,0.32,0.07,0.07,25%,2%
keznitENVY,0.97,222.9,1.03,69%,143.3,0.78,0.19,0.16,0.12,21%,42%
cauanzinLOUD,0.96,170.6,0.88,69%,117.0,0.59,0.30,0.06,0.06,20%,17%
zeronaEG,0.96,218.3,0.94,72%,143.0,0.73,0.22,0.12,0.06,27%,
eeiuFUR,0.95,179.4,0.93,65%,120.1,0.65,0.24,0.08,0.04,27%,7%
johnqtSEN,0.95,167.3,0.91,66%,110.1,0.58,0.30,0.02,0.06,24%,7%
pennyC9,0.94,193.3,1.00,68%,124.8,0.67,0.24,0.09,0.09,19%,
jawgemoG2,0.94,209.1,0.98,69%,135.6,0.73,0.24,0.15,0.17,19%,16%
MazinoMIBR,0.94,186.5,0.90,70%,121.7,0.63,0.46,0.07,0.10,22%,11%
spikeLEV,0.93,230.3,1.03,72%,143.4,0.80,0.24,0.20,0.17,23%,24%
vora100T,0.92,166.8,0.91,73%,116.4,0.58,0.32,0.05,0.06,25%,21%
nerveFUR,0.92,169.5,0.89,71%,115.3,0.59,0.30,0.04,0.07,28%,12%
alymFUR,0.91,212.2,0.97,67%,133.4,0.75,0.22,0.17,0.21,20%,27%
JackkC9,0.90,166.4,0.83,73%,117.4,0.58,0.34,0.03,0.07,29%,10%
skubaNRG,0.90,168.6,0.92,72%,111.6,0.61,0.24,0.08,0.09,23%,9%
P0PPINENVY,0.89,180.6,0.81,67%,117.2,0.61,0.33,0.04,0.11,18%,19%
supamenEG,0.88,172.0,0.85,68%,116.8,0.62,0.25,0.08,0.09,34%,12%
JonahPSEN,0.88,178.5,0.85,70%,125.7,0.59,0.27,0.06,0.10,23%,13%
XeppaaC9,0.88,186.3,0.81,69%,126.1,0.62,0.32,0.06,0.09,24%,9%
silentzzKRÜ,0.88,170.8,0.87,70%,113.6,0.60,0.25,0.09,0.05,27%,11%
texMIBR,0.86,166.8,0.85,66%,116.1,0.59,0.22,0.08,0.09,34%,9%
baoEG,0.86,180.7,0.79,68%,121.3,0.60,0.28,0.08,0.10,31%,7%
OkeanosEG,0.85,175.3,0.77,64%,120.7,0.60,0.25,0.06,0.10,36%,11%
koalanoobFUR,0.84,181.6,0.82,68%,120.4,0.63,0.28,0.13,0.12,23%,3%
ZellsisC9,0.83,167.0,0.79,69%,115.3,0.57,0.31,0.09,0.10,19%,9%
JerrwinSEN,0.82,196.0,0.88,65%,124.0,0.68,0.17,0.18,0.19,17%,
VirtyyLOUD,0.81,182.3,0.79,67%,118.0,0.61,0.16,0.14,0.17,20%,4%
Dantedeu5KRÜ,0.81,185.9,0.84,68%,117.8,0.64,0.25,0.16,0.18,23%,
C0MEG,0.76,152.4,0.67,65%,106.0,0.47,0.29,0.04,0.07,21%,6%
EggsterrENVY,0.72,174.4,0.71,66%,107.5,0.57,0.27,0.13,0.11,30%,
VictorSEN,0.70,192.0,0.76,56%,121.0,0.65,0.12,0.23,0.21,11%,
BatiLOUD,0.70,140.0,0.61,66%,89.9,0.46,0.45,0.03,0.11,20%,
